Video Title,Video ID,Published Date,Views,Likes,Comments,Engagement Rate (%)
Let’s Talk About Right-Wing Cancel Culture | Episode 1,Z31m3YeDAJc,2025-01-30T18:00:07Z,1469818,284999,37449,21.94
The Brett Cooper Show | Official Trailer,zW3s9ArVweA,2025-01-27T18:00:53Z,2211649,240373,29136,12.19
